X,CH1,
Second,Volt,
-1.1747091e+00,-4.00000e-01,
-1.1745626e+00,-4.80000e-01,
-1.1744161e+00,-3.20000e-01,
-1.1742696e+00,-3.20000e-01,
-1.1741232e+00,-4.00000e-01,
-1.1739767e+00,-4.80000e-01,
-1.1738302e+00,-4.00000e-01,
-1.1736836e+00,-4.00000e-01,
-1.1735371e+00,-5.60000e-01,
-1.1733907e+00,-5.60000e-01,
-1.1732442e+00,-5.60000e-01,
-1.1730977e+00,-3.20000e-01,
-1.1729512e+00,-6.40000e-01,
-1.1728047e+00,-4.80000e-01,
-1.1726583e+00,-4.00000e-01,
-1.1725118e+00,-4.00000e-01,
-1.1723653e+00,-5.60000e-01,
-1.1722188e+00,-5.60000e-01,
-1.1720723e+00,-5.60000e-01,
-1.1719259e+00,-5.60000e-01,
-1.1717794e+00,-5.60000e-01,
-1.1716329e+00,-5.60000e-01,
-1.1714864e+00,-4.00000e-01,
-1.1713399e+00,-4.80000e-01,
-1.1711935e+00,-4.80000e-01,
-1.1710470e+00,-4.80000e-01,
-1.1709005e+00,-3.20000e-01,
-1.1707540e+00,-4.00000e-01,
-1.1706074e+00,-4.80000e-01,
-1.1704611e+00,-4.00000e-01,
-1.1703146e+00,-1.60000e-01,
-1.1701680e+00,-3.20000e-01,
-1.1700215e+00,-8.00000e-02,
-1.1698750e+00,-1.60000e-01,
-1.1697286e+00,-3.20000e-01,
-1.1695821e+00,-3.20000e-01,
-1.1694356e+00,-2.40000e-01,
-1.1692891e+00,-1.60000e-01,
-1.1691426e+00,-1.60000e-01,
-1.1689962e+00,-1.60000e-01,
-1.1688497e+00,-3.20000e-01,
-1.1687032e+00,-1.60000e-01,
-1.1685567e+00,-1.60000e-01,
-1.1684102e+00,-1.60000e-01,
-1.1682638e+00,-3.20000e-01,
-1.1681173e+00,-1.60000e-01,
-1.1679708e+00,-3.20000e-01,
-1.1678243e+00,-1.60000e-01,
-1.1676778e+00,0.00000e+00,
-1.1675314e+00,-2.40000e-01,
-1.1673849e+00,0.00000e+00,
-1.1672384e+00,-3.20000e-01,
-1.1670918e+00,-4.00000e-01,
-1.1669453e+00,-1.60000e-01,
-1.1667989e+00,-1.60000e-01,
-1.1666524e+00,-1.60000e-01,
-1.1665059e+00,-3.20000e-01,
-1.1663594e+00,-3.20000e-01,
-1.1662129e+00,-1.60000e-01,
-1.1660665e+00,-2.40000e-01,
-1.1659200e+00,-3.20000e-01,
-1.1657735e+00,-2.40000e-01,
-1.1656270e+00,-1.60000e-01,
-1.1654805e+00,-2.40000e-01,
-1.1653341e+00,-2.40000e-01,
-1.1651876e+00,-4.00000e-01,
-1.1650411e+00,-3.20000e-01,
-1.1648946e+00,-3.20000e-01,
-1.1647481e+00,-1.60000e-01,
-1.1646017e+00,-1.60000e-01,
-1.1644552e+00,-8.00000e-02,
-1.1643087e+00,-2.40000e-01,
-1.1641622e+00,-1.60000e-01,
-1.1640157e+00,-8.00000e-02,
-1.1638693e+00,-3.20000e-01,
-1.1637228e+00,-3.20000e-01,
-1.1635762e+00,-1.60000e-01,
-1.1634297e+00,-1.60000e-01,
-1.1632832e+00,-3.20000e-01,
-1.1631368e+00,-1.60000e-01,
-1.1629903e+00,-1.60000e-01,
-1.1628438e+00,0.00000e+00,
-1.1626973e+00,-2.40000e-01,
-1.1625508e+00,0.00000e+00,
-1.1624044e+00,8.00000e-02,
-1.1622579e+00,-1.60000e-01,
-1.1621114e+00,-8.00000e-02,
-1.1619649e+00,-8.00000e-02,
-1.1618184e+00,-1.60000e-01,
-1.1616720e+00,0.00000e+00,
-1.1615255e+00,0.00000e+00,
-1.1613790e+00,0.00000e+00,
-1.1612325e+00,8.00000e-02,
-1.1610860e+00,-2.40000e-01,
-1.1609396e+00,-8.00000e-02,
-1.1607931e+00,0.00000e+00,
-1.1606466e+00,-1.60000e-01,
