X,CH1,
Second,Volt,
-2.9206738e-01,-1.80000e-01,
-2.9203078e-01,-1.00000e-01,
-2.9199415e-01,-1.00000e-01,
-2.9195753e-01,-1.00000e-01,
-2.9192090e-01,-2.00000e-02,
-2.9188427e-01,-4.00000e-02,
-2.9184768e-01,-1.40000e-01,
-2.9181105e-01,4.00000e-02,
-2.9177442e-01,-1.00000e-01,
-2.9173779e-01,-1.00000e-01,
-2.9170117e-01,-1.40000e-01,
-2.9166457e-01,-1.00000e-01,
-2.9162794e-01,0.00000e+00,
-2.9159132e-01,-2.00000e-02,
-2.9155469e-01,-8.00000e-02,
-2.9151806e-01,-8.00000e-02,
-2.9148147e-01,-1.00000e-01,
-2.9144484e-01,-2.20000e-01,
-2.9140821e-01,-1.60000e-01,
-2.9137158e-01,0.00000e+00,
-2.9133496e-01,-8.00000e-02,
-2.9129836e-01,0.00000e+00,
-2.9126173e-01,-1.40000e-01,
-2.9122511e-01,-1.80000e-01,
-2.9118848e-01,8.00000e-02,
-2.9115185e-01,0.00000e+00,
-2.9111525e-01,-8.00000e-02,
-2.9107863e-01,2.00000e-02,
-2.9104200e-01,4.00000e-02,
-2.9100537e-01,-4.00000e-02,
-2.9096875e-01,-1.00000e-01,
-2.9093215e-01,-2.00000e-01,
-2.9089552e-01,-1.00000e-01,
-2.9085889e-01,4.00000e-02,
-2.9082227e-01,4.00000e-02,
-2.9078564e-01,-2.00000e-01,
-2.9074904e-01,-1.20000e-01,
-2.9071242e-01,-2.60000e-01,
-2.9067579e-01,0.00000e+00,
-2.9063916e-01,-2.20000e-01,
-2.9060254e-01,0.00000e+00,
-2.9056594e-01,-2.20000e-01,
-2.9052931e-01,-1.80000e-01,
-2.9049268e-01,-2.60000e-01,
-2.9045606e-01,-1.00000e-01,
-2.9041943e-01,-4.00000e-02,
-2.9038283e-01,-1.00000e-01,
-2.9034621e-01,-1.00000e-01,
-2.9030958e-01,4.00000e-02,
-2.9027295e-01,-1.40000e-01,
-2.9023632e-01,-8.00000e-02,
-2.9019973e-01,-8.00000e-02,
-2.9016310e-01,-4.00000e-02,
-2.9012647e-01,-8.00000e-02,
-2.9008985e-01,-1.80000e-01,
-2.9005322e-01,-2.20000e-01,
-2.9001662e-01,0.00000e+00,
-2.8997999e-01,-1.80000e-01,
-2.8994337e-01,-1.20000e-01,
-2.8990674e-01,-1.20000e-01,
-2.8987011e-01,-1.80000e-01,
-2.8983352e-01,-4.00000e-02,
-2.8979689e-01,-1.00000e-01,
-2.8976026e-01,-4.00000e-02,
-2.8972363e-01,0.00000e+00,
-2.8968701e-01,-4.00000e-02,
-2.8965041e-01,-1.80000e-01,
-2.8961378e-01,-6.00000e-02,
-2.8957716e-01,0.00000e+00,
-2.8954053e-01,2.00000e-02,
-2.8950390e-01,-1.00000e-01,
-2.8946730e-01,0.00000e+00,
-2.8943068e-01,-1.40000e-01,
-2.8939405e-01,-2.00000e-01,
-2.8935742e-01,-1.00000e-01,
-2.8932080e-01,2.00000e-02,
-2.8928420e-01,-4.00000e-02,
-2.8924757e-01,-1.00000e-01,
-2.8921095e-01,-1.00000e-01,
-2.8917432e-01,-1.60000e-01,
-2.8913769e-01,-4.00000e-02,
-2.8910109e-01,-8.00000e-02,
-2.8906447e-01,-1.40000e-01,
-2.8902784e-01,2.00000e-02,
-2.8899121e-01,-2.60000e-01,
-2.8895459e-01,-8.00000e-02,
-2.8891799e-01,-1.80000e-01,
-2.8888136e-01,-8.00000e-02,
-2.8884473e-01,-1.80000e-01,
-2.8880811e-01,1.20000e-01,
-2.8877148e-01,4.00000e-02,
-2.8873488e-01,-1.80000e-01,
-2.8869826e-01,8.00000e-02,
-2.8866163e-01,-8.00000e-02,
-2.8862500e-01,-4.00000e-02,
-2.8858837e-01,2.00000e-02,
-2.8855178e-01,-1.40000e-01,
-2.8851515e-01,-2.00000e-02,
-2.8847852e-01,-1.00000e-01,
-2.8844190e-01,-1.80000e-01,
-2.8840527e-01,-1.00000e-01,
-2.8836867e-01,-4.00000e-02,
-2.8833205e-01,4.00000e-02,
-2.8829542e-01,-4.00000e-02,
-2.8825879e-01,-2.60000e-01,
-2.8822216e-01,-2.00000e-01,
-2.8818557e-01,-2.60000e-01,
-2.8814894e-01,-1.00000e-01,
-2.8811231e-01,-1.40000e-01,
-2.8807569e-01,-1.00000e-01,
-2.8803906e-01,-4.00000e-02,
-2.8800246e-01,0.00000e+00,
-2.8796583e-01,-1.00000e-01,
-2.8792921e-01,2.00000e-02,
-2.8789258e-01,4.00000e-02,
-2.8785595e-01,-1.00000e-01,
-2.8781936e-01,-1.40000e-01,
-2.8778273e-01,8.00000e-02,
-2.8774610e-01,-2.00000e-02,
-2.8770947e-01,-1.00000e-01,
-2.8767285e-01,6.00000e-02,
-2.8763625e-01,0.00000e+00,
-2.8759962e-01,-1.00000e-01,
-2.8756300e-01,-1.80000e-01,
-2.8752637e-01,-1.80000e-01,
-2.8748974e-01,-2.20000e-01,
-2.8745314e-01,-1.40000e-01,
-2.8741652e-01,-1.00000e-01,
-2.8737989e-01,-4.00000e-02,
-2.8734326e-01,-8.00000e-02,
-2.8730664e-01,-4.00000e-02,
-2.8727004e-01,-1.20000e-01,
-2.8723341e-01,-1.00000e-01,
-2.8719679e-01,6.00000e-02,
-2.8716016e-01,-8.00000e-02,
